path,cell_model,purpose,SHA256,size_bytes,status,source_generated,current_historical
archive/other_exploratory_models/early_project_work/deliverables/week1/neuromorpho_week1_table.csv,archived scientific history,Raw or summarized evidence for a model result,969d14524c60e1944f217accbefbf41e88bbddaf17c533880b4847b8df77c355,1909,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/deliverables/week1/WEEK1_EVIDENCE_INDEX.md,archived scientific history,"Scientific interpretation, provenance, or run documentation",8b085d10bbc77fec287cc69ddf9e873e1aadd0554c36c041d332923a078df94f,1297,retained archive,source,historical
archive/other_exploratory_models/early_project_work/figures/01_ball_stick_AP_demo.png,archived scientific history,"Visualization of morphology, simulation, or validation output",bca7f400b251701f393959ab64faf80f4b3590cc64229965b8ef270bae430f2a,116633,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/figures/01_ball_stick_CLEAR_AP_corrected.png,archived scientific history,"Visualization of morphology, simulation, or validation output",56afc6b583d492e18d69a8279287caf39a5e18d7d8684fd158198a469f49121a,156165,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/figures/02_DRG_normal_vs_neuropathic.png,archived scientific history,"Visualization of morphology, simulation, or validation output",d920925cc579a4788a227f248532ac22ede312c14306b035ee260c0f7d60dbfb,139440,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/figures/03_SDH_normal_vs_neuropathic_output.png,archived scientific history,"Visualization of morphology, simulation, or validation output",21e8776ee4bb7d542eff4e7d9de86dbee2bb380a351bd4e1015fe3f2331a4250,279792,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/figures/modeldb2018004_AP_parameters_PENDING_fallback.png,archived scientific history,"Visualization of morphology, simulation, or validation output",10a26e2dd8fc4654d7cb959d5dba2f76a4981cb667725a449c2990d1e5f19579,101119,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/figures/Screenshot 2026-05-29 185705.png,archived scientific history,"Visualization of morphology, simulation, or validation output",b56a4714f595273a881381bdd4f4188303f94666a11bca0972da4d25919e5c6f,119232,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/figures/Screenshot 2026-05-29 185721.png,archived scientific history,"Visualization of morphology, simulation, or validation output",3c41020bbf676542bfa1860679327703d9e81dfedd39182b74edd2ccd5788a34,53325,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/figures/Screenshot 2026-06-01 094922.png,archived scientific history,"Visualization of morphology, simulation, or validation output",e78d7dc9574ea21575bf22a57e9c9f44ab3e02dbe0b74ee6a8233303780b70f5,285648,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/figures/Screenshot 2026-06-01 100718.png,archived scientific history,"Visualization of morphology, simulation, or validation output",ea1cb98092efdcc3a7fa60d2f0beee4e82f56a570190278c439fcf52ddfc623d,49499,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/figures/Screenshot 2026-06-01 100737.png,archived scientific history,"Visualization of morphology, simulation, or validation output",6f6fcfe739a16b24a2d87b844be8a4739c7817ec7c85a237d77061f9618c480f,38207,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/01_ball_stick_ap_demo.log,archived scientific history,Execution provenance and diagnostic evidence,0d5a9e596a4025913a9082c312e3c17c4b4805731ec2e67e0a540d10e3420809,248,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/01_ball_stick_CLEAR_AP_corrected.log,archived scientific history,Execution provenance and diagnostic evidence,5881715039d5c03b617ffd6b186e2320e9e9dc72c8797a9944982f57cb95edbc,354,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/01_ball_stick_CLEAR_AP_corrected_terminal.log,archived scientific history,Execution provenance and diagnostic evidence,fe840fa74cc18f85a2bded4c8820050de2ff85f007097c1824d904d74edf61bc,638,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/02_DRG_normal_vs_neuropathic.log,archived scientific history,Execution provenance and diagnostic evidence,0103fcba263fae94b446deb6cc12fc4c3fcfa96a5664c1e99cdb233bdea7f363,336,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/03_SDH_normal_vs_neuropathic.log,archived scientific history,Execution provenance and diagnostic evidence,988c1328b59b6b78bff58bbfc71b96e0c5c455e869210576b9177a376658b173,534,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/07_DRG_AP_parameters_fallback.log,archived scientific history,Execution provenance and diagnostic evidence,68c40bae3ad90f89b6e5ec2abea7c86a4165affac9afd77ae012567c7e749200,287,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/08_make_neuromorpho_week1_table.log,archived scientific history,Execution provenance and diagnostic evidence,2e03a64154891d5082ace6350691d8045c5d88c3fdf3a346656a581b313474b4,4081,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/09_extract_modeldb267056_metrics.log,archived scientific history,Execution provenance and diagnostic evidence,478a10dbcc1287ac834037f9dda548c30b696c8a413aaf49c81862f2a178128f,1451,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/10_make_2018004_mod_inventory.log,archived scientific history,Execution provenance and diagnostic evidence,7fe4f074ba3371ae05aa90de8d782d4daebc68bc8e5b5a1caec42745df9c8d45,873,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/11_extract_AP_parameters_from_trace.log,archived scientific history,Execution provenance and diagnostic evidence,a37ea4758433ddcae73c48e432436882beb657fd6da68329349743d09a0c3cbb,647,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/12_inspect_modeldb2018004.log,archived scientific history,Execution provenance and diagnostic evidence,3cee44e5c615e5eefa9c190f20aece77f5880c7cffccc9480bfb8f6d6f2f636c,333,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/13_signature_modeldb2018004.log,archived scientific history,Execution provenance and diagnostic evidence,3265ad19516db6815138d15e017c37358afea016c796916577b28784294f757b,7312,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/14_run_modeldb2018004_AP_simulation.log,archived scientific history,Execution provenance and diagnostic evidence,e10aaa9d83d1330a1c3d18101a86463c930abd128d7284173a357b0f9b781448,1165,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/2018004_all_files.txt,archived scientific history,"Scientific interpretation, provenance, or run documentation",aa0e0b50304f131c9370e79534c367c37e4cc3827e4dd8e5cbcf61642c8e2853,2191,retained archive,source,historical
archive/other_exploratory_models/early_project_work/logs/2018004_axon_preview.txt,archived scientific history,"Scientific interpretation, provenance, or run documentation",59a33b09cb8c71b91e66f2d945814d63b4c7095eb5dc3ff3a227df1f65fc6669,10875,retained archive,source,historical
archive/other_exploratory_models/early_project_work/logs/2018004_file_tree.txt,archived scientific history,"Scientific interpretation, provenance, or run documentation",3669d67e4e337b7c9bed3a0c018eaae01949de20841ab3a464dced2be0a87b3b,1219,retained archive,source,historical
archive/other_exploratory_models/early_project_work/logs/2018004_keywords.txt,archived scientific history,"Scientific interpretation, provenance, or run documentation",38d6f6f03db7a7deae362056425f8e1b04c58daad50f4be9bf3d11e7ee4adcf5,17867,retained archive,source,historical
archive/other_exploratory_models/early_project_work/logs/2018004_nrnivmodl.log,archived scientific history,Execution provenance and diagnostic evidence,74a278f16855d1ce7e2a4694de37ae76c10cc11e15ffbb546304fda62ee4bde7,1631,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/2018004_pseudounipolar_preview.txt,archived scientific history,"Scientific interpretation, provenance, or run documentation",14cd904b1a95e49593f3a255f0a834c9595b12ec4431ee32f03b4c1d004adff9,10953,retained archive,source,historical
archive/other_exploratory_models/early_project_work/logs/2018004_readme_preview.txt,archived scientific history,"Scientific interpretation, provenance, or run documentation",52320896cc6cbed381ef14e4a77df9758ce2c63d29687ca27dfb5f3b44dc5cc1,3649,retained archive,source,historical
archive/other_exploratory_models/early_project_work/logs/2018004_run_candidates.txt,archived scientific history,"Scientific interpretation, provenance, or run documentation",2116c546387970aa6ed81b5e0619dbc975d1dc606ddd8260d7bd9af1ad04d840,79,retained archive,source,historical
archive/other_exploratory_models/early_project_work/logs/2018004_trace_candidates.txt,archived scientific history,"Scientific interpretation, provenance, or run documentation",b723564074ff0ea3b2baac029725c1b6c99d22e79986dd0d769f4d9be9c0e377,36,retained archive,source,historical
archive/other_exploratory_models/early_project_work/logs/267056_data_candidates.txt,archived scientific history,"Scientific interpretation, provenance, or run documentation",8e7381a27af0fc945babae035b5db8f0c1ff1d7f9b11295eea5597eeb333ce1c,493,retained archive,source,historical
archive/other_exploratory_models/early_project_work/logs/267056_existing_files.txt,archived scientific history,"Scientific interpretation, provenance, or run documentation",2923cfca33631d5214e067f1692b3811fecfddf724a086efd6589cb929d7a230,8304,retained archive,source,historical
archive/other_exploratory_models/early_project_work/logs/count_dorsal_horn.log,archived scientific history,Execution provenance and diagnostic evidence,5cbf323cc3525bde4e8297d63c3d3cbc4cf024342eb974aa2901a7857d47b6b8,63,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/download_dorsal_horn.log,archived scientific history,Execution provenance and diagnostic evidence,38543e1f132c5bb2ac3a9a10a6253f3d7049dc7b8e9156205dce347e4ab73fa7,1002,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/download_dorsal_horn_mouse.log,archived scientific history,Execution provenance and diagnostic evidence,21c0ddcdcb1d8bfe5222a9886ec5f90975b5cf59d55df2bfc029ace3bcde3bfe,28,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/download_dorsal_horn_rat.log,archived scientific history,Execution provenance and diagnostic evidence,21c0ddcdcb1d8bfe5222a9886ec5f90975b5cf59d55df2bfc029ace3bcde3bfe,28,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/download_drg_all.log,archived scientific history,Execution provenance and diagnostic evidence,26c0c7387bbc4c2519f44589c6f9cb7329c8b1f3eebb9831848d55020b63641b,994,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/download_drg_swc.log,archived scientific history,Execution provenance and diagnostic evidence,5e5ce97d7ce2dc59941865b5c1eae3ffe906ecd5341f737c8e0333fc714bd23f,2827,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/download_mouse_sensory.log,archived scientific history,Execution provenance and diagnostic evidence,21c0ddcdcb1d8bfe5222a9886ec5f90975b5cf59d55df2bfc029ace3bcde3bfe,28,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/download_neuromorpho_full.log,archived scientific history,Execution provenance and diagnostic evidence,9948dc804b311a5598777f9e53992d273fb38a3aec6a21b799a3da634dcbf5bf,869,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/download_pain_regions.log,archived scientific history,Execution provenance and diagnostic evidence,f2f98df63b41349466e44da57c534915fc5ae6bbb8022b16387f256e8ea0e47d,98,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/download_rat_all.log,archived scientific history,Execution provenance and diagnostic evidence,dde033cc07c4228fc1ab1aea9bcaaf215861cac8457d5c75da4fb6360fa92021,129,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/download_rat_sensory.log,archived scientific history,Execution provenance and diagnostic evidence,21c0ddcdcb1d8bfe5222a9886ec5f90975b5cf59d55df2bfc029ace3bcde3bfe,28,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/download_rat_spinal.log,archived scientific history,Execution provenance and diagnostic evidence,21c0ddcdcb1d8bfe5222a9886ec5f90975b5cf59d55df2bfc029ace3bcde3bfe,28,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/download_sdh_all.log,archived scientific history,Execution provenance and diagnostic evidence,f58d47b8b76a354c16fbc7edf689c3d57067eda8a94b1107ae29b90d9c365d2d,994,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/download_sdh_swc.log,archived scientific history,Execution provenance and diagnostic evidence,9b98a3a93b58dcc9e62dcbcfe64fece37fad01bfc07ae83fd704e66ef26fd92f,30,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/download_swc_dorsal_horn_strict_source.log,archived scientific history,Execution provenance and diagnostic evidence,203de7374b179c845f86cb73c89cc2cedd26882752df8521a9559a296f4f9e50,45,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/download_swc_top10.log,archived scientific history,Execution provenance and diagnostic evidence,c94583124028af333610579c5e7207e1d2b0aa2e3d15591c392d40b3ea139b3d,1462,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/fields.log,archived scientific history,Execution provenance and diagnostic evidence,9c9132b4d3ec0560549a7ca2a382f867f86055f836ee0b950d7e517bcc909ffa,710,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/filter_dorsal_horn.log,archived scientific history,Execution provenance and diagnostic evidence,0d304fc5fad6ea9b99e4e8c3eb89b0d21fd7a3160ec793b1f3b53bb24940d82c,1913,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/neuromorpho_fields.log,archived scientific history,Execution provenance and diagnostic evidence,9c9132b4d3ec0560549a7ca2a382f867f86055f836ee0b950d7e517bcc909ffa,710,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/neuromorpho_week1_verify.log,archived scientific history,Execution provenance and diagnostic evidence,78be19533d7ab4dac2ddbe2a00f2c2cb9e259ab5ce4ed2d125f22ce7efb8b5d4,4090,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/week1_final_check.log,archived scientific history,Execution provenance and diagnostic evidence,ef487cf6ac98f74e00044d1465b6eafe3898f1a2abbef2e5c744dfd9e632bbce,425,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/logs/week1_final_deliverable_files.txt,archived scientific history,"Scientific interpretation, provenance, or run documentation",733f010a1adade6d18e858b05a6bdc7b6f083f79e6c5dc9c111535ff156cccb1,730,retained archive,source,historical
archive/other_exploratory_models/early_project_work/logs/week1_today_start.log,archived scientific history,Execution provenance and diagnostic evidence,e485fe87ca0846a13a1069631f93c862e18a57bf0f76a47e49fe7a0574da7741,4769,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/metadata/dorsal_horn_all.csv,archived scientific history,Raw or summarized evidence for a model result,2d5553d6aa4cfd8da79b90cabe4b6b13241449e571ea8f63fec81b06ecca6409,7971533,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/metadata/drg_all.csv,archived scientific history,Raw or summarized evidence for a model result,ae438c5ed706779004a8a83ead89d764a52335277343c8c66a88a2f5f193ba5e,8235455,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/metadata/sdh_all.csv,archived scientific history,Raw or summarized evidence for a model result,2d5553d6aa4cfd8da79b90cabe4b6b13241449e571ea8f63fec81b06ecca6409,7971533,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/modeldb/2018004_GITLINK_NOTE.md,archived scientific history,"Scientific interpretation, provenance, or run documentation",e37004ffcf9b99507b4152b1a6c42027e1ab308de589dc57869d1ef0c8498b52,545,retained archive,source,historical
archive/other_exploratory_models/early_project_work/notes/ONE_HOUR_COMPUTATIONAL_SUMMARY.md,archived scientific history,"Scientific interpretation, provenance, or run documentation",fb59b928ed589e510ab6d64a6b399f41089531fd91061858c43d8fd5585b27c7,3147,retained archive,source,historical
archive/other_exploratory_models/early_project_work/notes/WEEK1_DELIVERABLE_TRACKER.md,archived scientific history,"Scientific interpretation, provenance, or run documentation",07c271e4f41d6e07fa4bf43b5abc666ad11f4a490e5a326d8786962d36cfe332,1310,retained archive,source,historical
archive/other_exploratory_models/early_project_work/notes/WEEK1_PAPER_SUMMARIES_5POINT.md,archived scientific history,"Scientific interpretation, provenance, or run documentation",110450b0565d6c7d43ccae63d73c66b6fd6f418297c744e46d6de6c0ec826f44,4597,retained archive,source,historical
archive/other_exploratory_models/early_project_work/project1/data/baseline_100mN_data.json,archived scientific history,Project metadata or historical artifact,cd4fec2022ebfd92724f6c307e7c6a2a02b6a6b1f06a9db47897bac0486eca76,8253728,retained archive,source,historical
archive/other_exploratory_models/early_project_work/project1/data/direct_runs/gaba_scale_000_100mN_data.json,archived scientific history,Project metadata or historical artifact,95db977af1db0d827c8e9716b6029230381af90ae006b5d0815e34cf4fbfe1bc,10825873,retained archive,source,historical
archive/other_exploratory_models/early_project_work/project1/data/direct_runs/gaba_scale_025_100mN_data.json,archived scientific history,Project metadata or historical artifact,e2979c146f0e6ad2eac0ea1ec790b7b29102c1aa94942af7f7d1605506c89f4c,9468520,retained archive,source,historical
archive/other_exploratory_models/early_project_work/project1/data/direct_runs/gaba_scale_050_100mN_data.json,archived scientific history,Project metadata or historical artifact,99b8e7f03a7571e5376053aaa2f05e8a519bc8e8393b1dfe8ea58e0ad7896ec7,8782817,retained archive,source,historical
archive/other_exploratory_models/early_project_work/project1/data/direct_runs/gaba_scale_075_100mN_data.json,archived scientific history,Project metadata or historical artifact,fe90a849704deda1177fa6c1fe35489eefdd3053bc78c74d982023aea5c267ac,8428836,retained archive,source,historical
archive/other_exploratory_models/early_project_work/project1/data/direct_runs/gaba_scale_100_100mN_data.json,archived scientific history,Project metadata or historical artifact,55ca4a5fa60ec5211088895b77ee9c9f0629deb2b04a9f4f5c03e95c578f8060,8253756,retained archive,source,historical
archive/other_exploratory_models/early_project_work/project1/figures/baseline_population_firing_rates.png,archived scientific history,"Visualization of morphology, simulation, or validation output",72b4878fa7d19c25f2ecbc33273dc22b36c80dc6b2266f0025a5e0189dcf672d,128786,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/figures/baseline_raster_100_percent_GABA.png,archived scientific history,"Visualization of morphology, simulation, or validation output",f43639607424b0002a8b69622b4be2556fa1c589189527e6de8cd8216f7a1896,608992,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/figures/ei_ratio_gaba_sweep.png,archived scientific history,"Visualization of morphology, simulation, or validation output",0200ec4d54fb2d7b5554842e6a42dc26f2dc0b41dbc0b16f6ff05f1f89a7575a,111186,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/figures/gaba_strength_vs_projection_output.png,archived scientific history,"Visualization of morphology, simulation, or validation output",cc85f3d9f0a2fe4630d586fe9600accf03e62dc2aa8ea95e9a326a9ea1c4e65d,134706,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/figures/gaba_sweep_output_heatmap.png,archived scientific history,"Visualization of morphology, simulation, or validation output",47838f1506e1d7815f4cf5875eea13d028651c90b283a2f53efdceb0509f08a5,195271,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/figures/projection_output_barplot_gaba_sweep.png,archived scientific history,"Visualization of morphology, simulation, or validation output",5a05189a027534b632d41a10ca27bc4f2d9604de2fb8c3a4865b023c1e88589c,141704,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/logs/gaba_scale_000.log,archived scientific history,Execution provenance and diagnostic evidence,b5fb6146ab5fc8269cef42a117d33e62935ba13145255d0a55b9b5cedabb6bf4,1123670,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/logs/gaba_scale_025.log,archived scientific history,Execution provenance and diagnostic evidence,d82f21dcb9eb274ef464d951e847c15325532936aa07c001d71e2fee681dc252,1136861,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/logs/gaba_scale_050.log,archived scientific history,Execution provenance and diagnostic evidence,377beed0984463ca71e5a39f4d4469574471d753111a9957db56c3c8abbf9370,1135327,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/logs/gaba_scale_075.log,archived scientific history,Execution provenance and diagnostic evidence,0d4b53b716d51333fdfc5e17df771447c24d85a6f825fc10ab2d77af451707e1,1136487,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/logs/gaba_scale_100.log,archived scientific history,Execution provenance and diagnostic evidence,2638d600c0d690fd9442868310aa66c0c5ee696223468a6b4aa00b53d6dbca1c,1134583,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/notes/direct_gaba_weight_editing_plan.md,archived scientific history,"Scientific interpretation, provenance, or run documentation",4c595069eca7e08f2f417213d75ab4b5c4df09f270d1a77c4f29d27f162e820f,3686,retained archive,source,historical
archive/other_exploratory_models/early_project_work/project1/README.md,archived scientific history,"Scientific interpretation, provenance, or run documentation",c4534e613b7097e77ab67914611564f5f65979c633e826a298385c51a10f0903,1510,retained archive,source,historical
archive/other_exploratory_models/early_project_work/project1/results/baseline_population_rates.csv,archived scientific history,Raw or summarized evidence for a model result,ebf5a0a3ccf4ec7969aa4e57c0c1c6f1ac9c7080dd21b5ecca986538646ddd0f,1470,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/results/baseline_projection_output.csv,archived scientific history,Raw or summarized evidence for a model result,9e0b0ecaa2ed1bcf3745c5ff801201429efa986971977c9d984ef31ed4c9c64e,169,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/results/baseline_spike_table_mapped.csv,archived scientific history,Raw or summarized evidence for a model result,f6ee262c130252abb48efc00e85aeb61b53f15814f7c11763ac1d7fbac829977,1990581,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/results/baseline_summary_metrics.csv,archived scientific history,Raw or summarized evidence for a model result,962057206152863c44261d8a579a8a96a791dec78bd825e6fec20a112ea3bc08,248,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/results/gaba_disinhibition_sweep_summary.csv,archived scientific history,Raw or summarized evidence for a model result,ad95225e2788a600a648c9867fe092e472d359db5bc948e49c24ea1fc4848fa1,696,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/results/modeldb267056_inhibitory_synapse_search.txt,archived scientific history,"Scientific interpretation, provenance, or run documentation",045b09d840b91b901a53fe787a3a591688b2be6c1dbf8d17730ad141ad1e72d4,21088,retained archive,source,historical
archive/other_exploratory_models/early_project_work/project1/results/project1_population_mapping_inferred.csv,archived scientific history,Raw or summarized evidence for a model result,3b4bbf62aacda26273252c1190ffe1c91b06e26092b0619640a7c4de1d897d80,27624,retained archive,generated,historical
archive/other_exploratory_models/early_project_work/project1/scripts/01_copy_baseline_data.py,archived scientific history,"Simulation, analysis, extraction, or validation workflow",0b7d006a25ce5438a61853265b7dde9f7cd501ed9f505dde952a4199078eaf27,848,retained archive,source,historical
archive/other_exploratory_models/early_project_work/project1/scripts/02_make_population_mapping.py,archived scientific history,"Simulation, analysis, extraction, or validation workflow",0510f9f65f7ca26c544d0371e106d99884aba2a60a5dfdcdca7d65dadcbcf8a2,2194,retained archive,source,historical
archive/other_exploratory_models/early_project_work/project1/scripts/03_analyze_baseline_projection_output.py,archived scientific history,"Simulation, analysis, extraction, or validation workflow",3399a36167043fde717d98e7c8cb28e8a8b06ea303b38c678d7826497ed78818,5668,retained archive,source,historical
archive/other_exploratory_models/early_project_work/project1/scripts/04_gaba_disinhibition_sweep.py,archived scientific history,"Simulation, analysis, extraction, or validation workflow",22315a2b7b840c61db2be010eeb3d99c7b3e3eeeaabb962981fd7b9836f5fb73,4704,retained archive,source,historical
archive/other_exploratory_models/early_project_work/project1/scripts/06_patch_gaba_scale_into_model.py,archived scientific history,"Simulation, analysis, extraction, or validation workflow",163088519b51d896d91b8743499a1820d8cc4049a3985d5bae656c5a941a2e6c,2304,retained archive,source,historical
archive/other_exploratory_models/early_project_work/project1/scripts/07_patch_cfg_gaba_scale.py,archived scientific history,"Simulation, analysis, extraction, or validation workflow",74c9131b71fd610eb4f9c49adfaea778419805f3d6b869f0f026e98460bf8137,1967,retained archive,source,historical
