SHA256,paths,size,decision,canonical_path,reason
239900b60b2c947e5c54bcb64cfe718ffe04db97702157cc8a7c08cf0ebcb17e,L796/scripts/L796_step5_best_traces/best_I_-10pA.png | L796/traces/step5_best_traces/best_I_-10pA.png,107877,remove generated script-output copy,L796/traces/step5_best_traces/best_I_-10pA.png,"Canonical trace belongs under traces/, not scripts/."
2904288738bde686f2751df6dac66c99af6b11ca1050b43e6b95939523720f4d,project3/results/summary/only_DYN_inhibition_reduced_population_summary.csv | project3/results/summary/only_DYN_inhibition_reduced_projection_output.csv,215,retain or review in scientific context,project3/results/summary/only_DYN_inhibition_reduced_projection_output.csv,Byte identity alone does not prove that experiment-specific context is redundant.
2970709ad3f703939b2569866f340ba526be06e70f79cd636259f19903b57247,L796/scripts/L796_step5_best_traces/best_I_0pA.png | L796/traces/step5_best_traces/best_I_0pA.png,89493,remove generated script-output copy,L796/traces/step5_best_traces/best_I_0pA.png,"Canonical trace belongs under traces/, not scripts/."
2c32c9ae0ccc827caeec311a35ba6b48664385446276e62708b96988e38c6bac,L796/figures/step5_final_model/L796_step5_tuned_FI_curve.png | L796/scripts/L796_step5_tuned_FI_curve.png | L796/validation/baseline_v1/L796_step5_tuned_FI_curve.png,92218,retain or review in scientific context,L796/scripts/L796_step5_tuned_FI_curve.png,Byte identity alone does not prove that experiment-specific context is redundant.
2d5553d6aa4cfd8da79b90cabe4b6b13241449e571ea8f63fec81b06ecca6409,metadata/dorsal_horn_all.csv | metadata/sdh_all.csv,7971533,retain or review in scientific context,metadata/sdh_all.csv,Byte identity alone does not prove that experiment-specific context is redundant.
2dfdbaa79afdc8cf8c94c20488fc9ed46414fc63ad527d684c52c44c80eee3a6,deliverables/week1/modeldb2018004_soma_voltage_trace.csv | submission_week1/week1/modeldb2018004_soma_voltage_trace.csv,61224,remove redundant submission-package copy,deliverables/week1/modeldb2018004_soma_voltage_trace.csv,Byte-identical evidence is retained in its canonical source area.
3659941287d3c93af8914849d5d84a97b46b4c1bdb6de7bb7964e49dbb3fcd47,project3/results/summary/all_inhibition_reduced_population_summary.csv | project3/results/summary/all_inhibition_reduced_projection_output.csv,204,retain or review in scientific context,project3/results/summary/all_inhibition_reduced_projection_output.csv,Byte identity alone does not prove that experiment-specific context is redundant.
38f76c8f27f1279704904bf14331fbe8579d529f098d4485e6da4f0feb56be80,L796/scripts/L796_step5_best_traces/best_I_60pA.dat | L796/traces/step5_best_traces/best_I_60pA.dat,1218687,remove generated script-output copy,L796/traces/step5_best_traces/best_I_60pA.dat,"Canonical trace belongs under traces/, not scripts/."
3ada9ede9e6726c3e0d60c6e674c749c844a40cf0f559c4fdc8ca9c9ea74c39a,project3/results/summary/only_ISLET_inhibition_reduced_population_summary.csv | project3/results/summary/only_ISLET_inhibition_reduced_projection_output.csv,219,retain or review in scientific context,project3/results/summary/only_ISLET_inhibition_reduced_projection_output.csv,Byte identity alone does not prove that experiment-specific context is redundant.
48fa5c4053e12e896d748e567880a6f06cb725f0900109f1f67c0cd7ad20f8d8,L796/results/L796_final_validation_vs_targets.csv | L796/results/final_model/L796_final_validation_vs_targets.csv,858,retain or review in scientific context,L796/results/L796_final_validation_vs_targets.csv,Byte identity alone does not prove that experiment-specific context is redundant.
490242903a9f29ba50a1e17ab91647490a69cbf6b57b24969b74a1995e5369e4,project3/results/summary/baseline_normal_inhibition_spikes.csv | project3/results/summary/only_DYN_inhibition_reduced_spikes.csv,845321,retain or review in scientific context,project3/results/summary/baseline_normal_inhibition_spikes.csv,Byte identity alone does not prove that experiment-specific context is redundant.
4b88a598a9f88d7e0fb866002a75daeed9672437ebd6809aa4f1539f2dee3562,L796/scripts/L796_step5_best_traces/best_I_-10pA.dat | L796/traces/step5_best_traces/best_I_-10pA.dat,1219658,remove generated script-output copy,L796/traces/step5_best_traces/best_I_-10pA.dat,"Canonical trace belongs under traces/, not scripts/."
4be74a2b9f13ce3af1745910a40a7c26d9345f8312898a01c8c05734c9e5e30c,deliverables/week1/modeldb2018004_AP_trace_with_parameters.png | submission_week1/week1/modeldb2018004_AP_trace_with_parameters.png,130852,remove redundant submission-package copy,deliverables/week1/modeldb2018004_AP_trace_with_parameters.png,Byte-identical evidence is retained in its canonical source area.
4c020cfc53371a4c1aa3abaae02f50b8ba4733f7b7d764bf5ec8bc57dc534ee7,project4/figures/project4_abeta_gaba_matrix.png | project5/data/project4_abeta_gaba_matrix.png,92115,retain or review in scientific context,project5/data/project4_abeta_gaba_matrix.png,Byte identity alone does not prove that experiment-specific context is redundant.
4d8b8a33dd0fbe388b75a8abe4efcba515e988622b9c592ea68c0dbc8fb12337,L796/figures/step5_final_model/L796_step5_tuned_frequency_curve.png | L796/scripts/L796_step5_tuned_frequency_curve.png | L796/validation/baseline_v1/L796_step5_tuned_frequency_curve.png,91434,retain or review in scientific context,L796/scripts/L796_step5_tuned_frequency_curve.png,Byte identity alone does not prove that experiment-specific context is redundant.
4f1f5824ef442dda6892e088816985327c8a3abd1cb0bdb4b302edc223567632,L796/scripts/L796_step5_best_traces/best_I_80pA.png | L796/traces/step5_best_traces/best_I_80pA.png,162259,remove generated script-output copy,L796/traces/step5_best_traces/best_I_80pA.png,"Canonical trace belongs under traces/, not scripts/."
522ded5adce9172efea6f1ef775552b08f8e515d7f6acba409c110c15be099b8,L796/scripts/L796_step5_best_traces/best_I_120pA.png | L796/traces/step5_best_traces/best_I_120pA.png,180089,remove generated script-output copy,L796/traces/step5_best_traces/best_I_120pA.png,"Canonical trace belongs under traces/, not scripts/."
55ca4a5fa60ec5211088895b77ee9c9f0629deb2b04a9f4f5c03e95c578f8060,project1/data/direct_runs/gaba_scale_100_100mN_data.json | project3/results/raw/baseline_normal_inhibition.json | project3/results/raw/only_DYN_inhibition_reduced.json,8253756,retain or review in scientific context,project3/results/raw/baseline_normal_inhibition.json,Byte identity alone does not prove that experiment-specific context is redundant.
56afc6b583d492e18d69a8279287caf39a5e18d7d8684fd158198a469f49121a,figures/01_ball_stick_CLEAR_AP_corrected.png | submission_week1/week1/01_ball_stick_CLEAR_AP_corrected.png,156165,remove redundant submission-package copy,figures/01_ball_stick_CLEAR_AP_corrected.png,Byte-identical evidence is retained in its canonical source area.
59bbea1f7c6364fc9f912c1013bda3c14759c9364b9b9bc09c2bd91a885267ad,python/01_ball_stick_ap_demo.py | python/01_ball_stick_ap_demo.py.save,2376,retain or review in scientific context,python/01_ball_stick_ap_demo.py,Byte identity alone does not prove that experiment-specific context is redundant.
5d62d99458292cb6d4aa353190a9373ec2a9b2350c1e638ca6abd7b5199e3506,deliverables/week1/modeldb2018004_section_summary.csv | submission_week1/week1/modeldb2018004_section_summary.csv,18815,remove redundant submission-package copy,deliverables/week1/modeldb2018004_section_summary.csv,Byte-identical evidence is retained in its canonical source area.
5ddf29c21d7859145afb93767db2943be99bc6364dba2ac4e15768c845751432,results/01_ball_stick_CLEAR_AP_metrics.csv | submission_week1/week1/01_ball_stick_CLEAR_AP_metrics.csv,333,remove redundant submission-package copy,results/01_ball_stick_CLEAR_AP_metrics.csv,Byte-identical evidence is retained in its canonical source area.
60dac982069e37cb79d5b48263cbccbb09103ec281b5799a4ce597acdcedc5b1,L796/scripts/L796_step5_best_traces/best_I_80pA.dat | L796/traces/step5_best_traces/best_I_80pA.dat,1218405,remove generated script-output copy,L796/traces/step5_best_traces/best_I_80pA.dat,"Canonical trace belongs under traces/, not scripts/."
611eb0c7b726c68dddfb72d4e9701b736ac3a17b149bc8af682ba720a0015e02,L796/scripts/L796_step5_best_traces/best_I_120pA.dat | L796/traces/step5_best_traces/best_I_120pA.dat,1217982,remove generated script-output copy,L796/traces/step5_best_traces/best_I_120pA.dat,"Canonical trace belongs under traces/, not scripts/."
67abdc66c31eac8201553156615a18e56733d4c71a98738ee831b8182c286cd7,L796/scripts/L796_step5_best_traces/best_I_60pA.png | L796/traces/step5_best_traces/best_I_60pA.png,153300,remove generated script-output copy,L796/traces/step5_best_traces/best_I_60pA.png,"Canonical trace belongs under traces/, not scripts/."
6f023ed7b003a4ec54b6c538d4b71b75d21221ac29fe1ae2d15c538051ab8ad8,project4/results/project4_abeta_allodynia_condition_summary.csv | project5/data/project4_abeta_allodynia_condition_summary.csv,838,retain or review in scientific context,project5/data/project4_abeta_allodynia_condition_summary.csv,Byte identity alone does not prove that experiment-specific context is redundant.
797bb460c8b78023c8a0434634d7fecd39093bee7c95d4fd2658720118a86061,L796/reports/L796_model_vs_literature_validation_table.csv | L796/validation/ap_features/L796_model_vs_literature_validation_table.csv,1078,retain or review in scientific context,L796/reports/L796_model_vs_literature_validation_table.csv,Byte identity alone does not prove that experiment-specific context is redundant.
7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,L796/results/step5_final_model/best_I_-10pA_ais_vs_soma_check.csv | L796/results/step5_final_model/best_I_0pA_ais_vs_soma_check.csv | L796/results/step5_final_model/best_I_20pA_ais_vs_soma_check.csv,2,retain or review in scientific context,L796/results/step5_final_model/best_I_0pA_ais_vs_soma_check.csv,Byte identity alone does not prove that experiment-specific context is redundant.
8154a4bfd4ddbbda6d706b3f152ace98106ef2b77ef674fc11b921c4445e09cf,deliverables/week1/modeldb267056_cell_rates.csv | submission_week1/week1/modeldb267056_cell_rates.csv,19776,remove redundant submission-package copy,deliverables/week1/modeldb267056_cell_rates.csv,Byte-identical evidence is retained in its canonical source area.
8783575961e679c2dceedc84cbc7c562ec7d24bd428c212b06166879c8a75e99,L796/results/L796_final_v2_validation_vs_targets.csv | L796/results/final_model_v2/L796_final_v2_validation_vs_targets.csv,937,retain or review in scientific context,L796/results/L796_final_v2_validation_vs_targets.csv,Byte identity alone does not prove that experiment-specific context is redundant.
8b085d10bbc77fec287cc69ddf9e873e1aadd0554c36c041d332923a078df94f,deliverables/week1/WEEK1_EVIDENCE_INDEX.md | submission_week1/week1/WEEK1_EVIDENCE_INDEX.md,1297,remove redundant submission-package copy,deliverables/week1/WEEK1_EVIDENCE_INDEX.md,Byte-identical evidence is retained in its canonical source area.
8c39373a65925737bb85efad4a5204329eb469217e56ccf7d481a10ce950b142,L796/results/step5_final_model/L796_step5_best_model_features.csv | L796/scripts/L796_step5_best_model_features.csv | L796/validation/baseline_v1/L796_step5_best_model_features.csv,3029,retain or review in scientific context,L796/scripts/L796_step5_best_model_features.csv,Byte identity alone does not prove that experiment-specific context is redundant.
969d14524c60e1944f217accbefbf41e88bbddaf17c533880b4847b8df77c355,deliverables/week1/neuromorpho_week1_table.csv | results/neuromorpho_week1_table.csv | submission_week1/week1/neuromorpho_week1_table.csv,1909,remove redundant submission-package copy,deliverables/week1/neuromorpho_week1_table.csv,Byte-identical evidence is retained in its canonical source area.
98d449f07b3d6deab7688becdccaec2f58ffaeb140cb5ebd671ef1bdd6dbb1ce,L796/reports/L796_step5_AIS_soma_summary_STIM_WINDOW.csv | L796/validation/ais_soma/L796_step5_AIS_soma_summary_STIM_WINDOW.csv | L796/validation/baseline_v1/L796_step5_AIS_soma_summary_STIM_WINDOW.csv,676,retain or review in scientific context,L796/reports/L796_step5_AIS_soma_summary_STIM_WINDOW.csv,Byte identity alone does not prove that experiment-specific context is redundant.
9a51f531ac222307fb4564c52e382376f58076b2145afefd70422f7c88d3731a,L796/figures/step5_final_model/L796_step5_tuned_AIS_trace_overlay.png | L796/scripts/L796_step5_tuned_AIS_trace_overlay.png,429611,retain or review in scientific context,L796/scripts/L796_step5_tuned_AIS_trace_overlay.png,Byte identity alone does not prove that experiment-specific context is redundant.
9c9132b4d3ec0560549a7ca2a382f867f86055f836ee0b950d7e517bcc909ffa,logs/fields.log | logs/neuromorpho_fields.log,710,retain or review in scientific context,logs/fields.log,Byte identity alone does not prove that experiment-specific context is redundant.
9f7cabb19475331528c1d20c92d34ebd5c5d741f1ff8c02abc575b52b7b0db5e,L796/reports/L796_step5_tuning_report.txt | L796/scripts/L796_step5_tuning_report.txt,1828,retain or review in scientific context,L796/reports/L796_step5_tuning_report.txt,Byte identity alone does not prove that experiment-specific context is redundant.
9fa8215daf80310e879e4e6f5994d2d8f9974a907e648e88fa8c7c58671bf753,L796/results/step5_final_model/L796_step5_all_tuning_candidates.csv | L796/scripts/L796_step5_all_tuning_candidates.csv,250586,retain or review in scientific context,L796/scripts/L796_step5_all_tuning_candidates.csv,Byte identity alone does not prove that experiment-specific context is redundant.
a117f61fa75e8b8547147f3371d0ce84057c0c9df47b4f1a9d6dc72bbed7fdb5,L796/scripts/L796_step5_best_traces/best_I_40pA.dat | L796/traces/step5_best_traces/best_I_40pA.dat,1219017,remove generated script-output copy,L796/traces/step5_best_traces/best_I_40pA.dat,"Canonical trace belongs under traces/, not scripts/."
a90549aad89aafca5b14efd7461f845747b1080396f4cec1ff4150938712100f,project4/figures/project4_mechanical_allodynia_mechanism_diagram.png | project5/data/project4_mechanical_allodynia_mechanism_diagram.png,184276,retain or review in scientific context,project5/data/project4_mechanical_allodynia_mechanism_diagram.png,Byte identity alone does not prove that experiment-specific context is redundant.
b18eb8ac250798bf86cea7e81688c5650118c8cc2daf9157c5c1992303dd4f62,deliverables/week1/modeldb267056_summary.txt | submission_week1/week1/modeldb267056_summary.txt,853,remove redundant submission-package copy,deliverables/week1/modeldb267056_summary.txt,Byte-identical evidence is retained in its canonical source area.
b36576d3f20c20490adb433cf0bd965aba436ad8122db0d997a287283113d354,deliverables/week1/modeldb2018004_mod_inventory.csv | submission_week1/week1/modeldb2018004_mod_inventory.csv,539,remove redundant submission-package copy,deliverables/week1/modeldb2018004_mod_inventory.csv,Byte-identical evidence is retained in its canonical source area.
b48cd688935b0d443398915117e73f594038a26ef0b9f8a31d18f6569dab0895,project3/results/summary/project3_population_summary.csv | project3/results/summary/project3_projection_output_summary.csv,634,retain or review in scientific context,project3/results/summary/project3_population_summary.csv,Byte identity alone does not prove that experiment-specific context is redundant.
b97d2b548e9968e0b0b5d5493511754524539082c0fc06e8e61858bd2469124d,deliverables/week1/modeldb2018004_soma_voltage_trace.png | submission_week1/week1/modeldb2018004_soma_voltage_trace.png,107581,remove redundant submission-package copy,deliverables/week1/modeldb2018004_soma_voltage_trace.png,Byte-identical evidence is retained in its canonical source area.
bca7f400b251701f393959ab64faf80f4b3590cc64229965b8ef270bae430f2a,figures/01_ball_stick_AP_demo.png | submission_week1/week1/01_ball_stick_AP_demo.png,116633,remove redundant submission-package copy,figures/01_ball_stick_AP_demo.png,Byte-identical evidence is retained in its canonical source area.
c17fd7348b66bee2b0e13cd1f67aef69a2a116a973b024b71fa6641e77ad4537,L796/reports/L796_step5_somatic_AP_features_summary_STIM_WINDOW.csv | L796/results/ap_features/L796_step5_somatic_AP_features_summary_STIM_WINDOW.csv | L796/validation/baseline_v1/L796_step5_somatic_AP_features_summary_STIM_WINDOW.csv,1727,retain or review in scientific context,L796/reports/L796_step5_somatic_AP_features_summary_STIM_WINDOW.csv,Byte identity alone does not prove that experiment-specific context is redundant.
c2f8454b81d5f44a80e354e491144a054aaa0e8dd52c37985d09898c5ef31047,results/01_ball_stick_CLEAR_AP_trace.csv | submission_week1/week1/01_ball_stick_CLEAR_AP_trace.csv,121875,remove redundant submission-package copy,results/01_ball_stick_CLEAR_AP_trace.csv,Byte-identical evidence is retained in its canonical source area.
c935a3b1c38575a7a6d1b652e03dbfec092cd48d55ec5237e93110dd8d5351cc,deliverables/week1/modeldb267056_tonic_firing.png | submission_week1/week1/modeldb267056_tonic_firing.png,371318,remove redundant submission-package copy,deliverables/week1/modeldb267056_tonic_firing.png,Byte-identical evidence is retained in its canonical source area.
cbc86d83899a166d0d90e3066d9d3cbfdf9164c2c44218cd8d34f45004f5013e,deliverables/week1/morphology_decision.txt | submission_week1/week1/morphology_decision.txt,796,remove redundant submission-package copy,deliverables/week1/morphology_decision.txt,Byte-identical evidence is retained in its canonical source area.
d1e63d30f1cc64dcc1536bbd3f4aa1c60670b5729d6244a20e2c34077925e7ee,L796/scripts/L796_step5_best_traces/best_I_100pA.png | L796/traces/step5_best_traces/best_I_100pA.png,170003,remove generated script-output copy,L796/traces/step5_best_traces/best_I_100pA.png,"Canonical trace belongs under traces/, not scripts/."
d4638cacfc7b00bb0c2313b71a67d6c0cd5a6b89cd2da87e45b39bf44938827b,L796/reports/L796_step5_AIS_soma_summary_STIM_WINDOW.md | L796/validation/ais_soma/L796_step5_AIS_soma_summary_STIM_WINDOW.md,1370,retain or review in scientific context,L796/reports/L796_step5_AIS_soma_summary_STIM_WINDOW.md,Byte identity alone does not prove that experiment-specific context is redundant.
d4b5a095984a9e942c29736e3a59adc76697bfcc8511682f2813bb7171a31773,L796/scripts/L796_step5_best_traces/best_I_20pA.dat | L796/traces/step5_best_traces/best_I_20pA.dat,1219658,remove generated script-output copy,L796/traces/step5_best_traces/best_I_20pA.dat,"Canonical trace belongs under traces/, not scripts/."
d920925cc579a4788a227f248532ac22ede312c14306b035ee260c0f7d60dbfb,figures/02_DRG_normal_vs_neuropathic.png | submission_week1/week1/02_DRG_normal_vs_neuropathic.png,139440,remove redundant submission-package copy,figures/02_DRG_normal_vs_neuropathic.png,Byte-identical evidence is retained in its canonical source area.
df11af7395d33772df2b1f66befcd0f6d226d980e741aa56ed631c179b7ac743,L796/scripts/L796_step5_best_traces/best_I_40pA.png | L796/traces/step5_best_traces/best_I_40pA.png,142168,remove generated script-output copy,L796/traces/step5_best_traces/best_I_40pA.png,"Canonical trace belongs under traces/, not scripts/."
e5ae72c34d12b7b749a62bf048868e585356a21df2374d9fc9f4d1ac0d9098bb,L796/scripts/L796_step5_best_traces/best_I_100pA.dat | L796/traces/step5_best_traces/best_I_100pA.dat,1218154,remove generated script-output copy,L796/traces/step5_best_traces/best_I_100pA.dat,"Canonical trace belongs under traces/, not scripts/."
ea81ba84d523742d6eea83a8de4e78cb93cbcae17a6e8abab19a5a99e3ee2c94,project4/figures/project4_abeta_allodynia_barplot.png | project5/data/project4_abeta_allodynia_barplot.png,132734,retain or review in scientific context,project5/data/project4_abeta_allodynia_barplot.png,Byte identity alone does not prove that experiment-specific context is redundant.
ec68da469f859d2b8a16e08fbdc9673ea85f28db7e11f0717b2546f9038f0a8a,project4/results/project4_biological_interpretation.csv | project5/data/project4_biological_interpretation.csv,516,retain or review in scientific context,project5/data/project4_biological_interpretation.csv,Byte identity alone does not prove that experiment-specific context is redundant.
ed0b45a8830b36696bc163b5ede93edc8d94ca1492411a809a812bb68eb3c79d,L796/results/ap_features/L796_step5_somatic_AP_features_summary.csv | L796/validation/baseline_v1/L796_step5_somatic_AP_features_summary.csv,1759,retain or review in scientific context,L796/results/ap_features/L796_step5_somatic_AP_features_summary.csv,Byte identity alone does not prove that experiment-specific context is redundant.
ed32c056b1362f9aa37cfd95b88f220501a6688e1dfa480a2428afe5a1a1e830,deliverables/week1/modeldb2018004_AP_parameters.csv | submission_week1/week1/modeldb2018004_AP_parameters.csv,291,remove redundant submission-package copy,deliverables/week1/modeldb2018004_AP_parameters.csv,Byte-identical evidence is retained in its canonical source area.
edcfc9fd7dcae1ed326d70c6ac8e10985d68ac4611efae064eedf9408b26d0dc,L796/reports/L796_model_vs_literature_validation_table.md | L796/validation/ap_features/L796_model_vs_literature_validation_table.md,2077,retain or review in scientific context,L796/reports/L796_model_vs_literature_validation_table.md,Byte identity alone does not prove that experiment-specific context is redundant.
ede8d41d1019e4efc0be04f358d6dabd9884b3f3e143f34a72734727ac79d7e5,project3/results/summary/baseline_normal_inhibition_population_summary.csv | project3/results/summary/baseline_normal_inhibition_projection_output.csv,204,retain or review in scientific context,project3/results/summary/baseline_normal_inhibition_projection_output.csv,Byte identity alone does not prove that experiment-specific context is redundant.
f2cd933f218f40e2efce8babab98a22420292161c171c64c59533d241d14902b,L796/scripts/L796_step5_best_traces/best_I_20pA.png | L796/traces/step5_best_traces/best_I_20pA.png,117761,remove generated script-output copy,L796/traces/step5_best_traces/best_I_20pA.png,"Canonical trace belongs under traces/, not scripts/."
f3df34182592d42d685eccfed027458e41f953c075f52caf470c394a0d88e4fe,L796/results/L796_final_v2_search_candidates.csv | L796/results/final_model_v2/L796_final_v2_search_candidates.csv,18323,retain or review in scientific context,L796/results/L796_final_v2_search_candidates.csv,Byte identity alone does not prove that experiment-specific context is redundant.
f83fb90d40eb2f32831e3347501ae7b3757e3a8b8570e95b8adf00e904a74bf8,L796/results/step5_final_model/L796_step5_top20_tuned_candidates.csv | L796/scripts/L796_step5_top20_tuned_candidates.csv,21335,retain or review in scientific context,L796/scripts/L796_step5_top20_tuned_candidates.csv,Byte identity alone does not prove that experiment-specific context is redundant.
