"channel_or_receptor","class","biological_role","best_evidence_level","evidence_basis","recommended_status","priority_0_to_10","implementation_difficulty","initial_location","fit_or_validation_feature","decision_rule","primary_sources"
"BK-type KCa","Calcium-activated K","Spike narrowing and fast AHP","D","Biophysically plausible; no direct L796 blocker evidence found","Conditional-low","4","High","Soma/AIS near Ca source","Half-width; fast AHP; iberiotoxin/paxilline response","Add only with fast-AHP/spike-width evidence",""
"Persistent Na","Voltage-gated","Subthreshold amplification, plateau and sustained firing","C/D","Broader lamina-I/developmental evidence; not an exact L796 requirement","Later","4","Medium-high","Soma/AIS","Ramp hysteresis; persistent inward current; plateau; riluzole/TTX response","Do not add for ordinary tonic firing unless simpler model fails and PIC is measured",""
"HCN/Ih","Voltage-gated","Sag, rebound, resonance and resting conductance","C","Present in subsets of mouse lamina-I spinobulbar neurons; no exact L796 sag evidence","Later","4","Medium","Soma/dendrites","Sag ratio; rebound; resonance; ZD7288 response","Add only for measured sag/rebound/resonance","https://pmc.ncbi.nlm.nih.gov/articles/PMC8208100/"
"M current/KCNQ","Voltage-gated","Near-threshold restraint and adaptation","C/D","No direct identified-L796 functional evidence found","Do not add now","3","Medium","AIS/soma if supported","XE991-sensitive current; adaptation; rheobase","Add only after a discriminating pharmacological feature",""
"AMPA","Ligand-gated","Fast excitatory synaptic current","B","AMPA/kainate mEPSCs and afferent-evoked EPSCs in identified rat lamina-I PNs","Core for synapses","10","Medium","Dendritic synapses","Rise/decay; mEPSC/eEPSC amplitude; EPSP; paired-pulse","Include for glutamatergic input; fit kinetics before weight","https://pmc.ncbi.nlm.nih.gov/articles/PMC1464766/"
"NMDA","Ligand-gated","Voltage-dependent slow excitation, summation and Ca entry","B/C","NMDA component in identified PNs; GluN2B/2D dominate adult rat lamina-I responses","Core for pain-circuit synapses","9","Medium-high","Dendritic synapses","AMPA:NMDA ratio; Mg block; I-V; decay; wind-up","Include when temporal summation/central sensitization is modeled","https://pmc.ncbi.nlm.nih.gov/articles/PMC1464766/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3923208/"
"GABA_A","Ligand-gated","Fast chloride-dependent inhibition and shunting","B","All tested identified rat lamina-I PNs responded to GABA; mIPSCs recorded","Core for inhibitory circuit","9","Medium","Somatic and dendritic synapses","IPSC kinetics; E_GABA; IPSP; shunting","Include with physiological chloride state","https://pmc.ncbi.nlm.nih.gov/articles/PMC1464766/; https://pmc.ncbi.nlm.nih.gov/articles/PMC6782499/"
"Glycine receptor","Ligand-gated","Fast chloride-dependent spinal inhibition","B","All tested identified rat lamina-I PNs responded to glycine; mIPSCs recorded","Core for inhibitory circuit","9","Medium","Somatic and dendritic synapses","IPSC kinetics; E_Gly; GABA:glycine fraction","Include with physiological chloride state","https://pmc.ncbi.nlm.nih.gov/articles/PMC1464766/; https://pmc.ncbi.nlm.nih.gov/articles/PMC6782499/"
"KCC2/SLC12A5","Chloride transporter","Maintains inhibitory chloride gradient","B","Nerve injury reduces KCC2 and shifts anion gradient in rat lamina-I neurons","Core for neuropathic-pain comparison","9","High if dynamic","Cell-wide chloride homeostasis","E_Cl/E_GABA/E_Gly; normal versus neuropathic IPSP","At minimum implement two validated chloride states; dynamic transporter optional","https://pubmed.ncbi.nlm.nih.gov/12931188/"
"NK1/TACR1","Metabotropic receptor","Substance-P-driven slow excitation","B/C","Approximately 80% of rat lamina-I PNs express NK1; exact L796 status unknown","Conditional-high","8","High","Soma/dendrites","SP-evoked slow current/depolarization; firing; antagonist response","Include if L796 is assumed/verified NK1-positive or SP input is a project target","https://pmc.ncbi.nlm.nih.gov/articles/PMC6757649/"
"NALCN","Modulator-gated Na leak","Part of SP/NK1 slow inward current and intrinsic excitability","C","Functional in neonatal spinal projection neurons and activated downstream of NK1","Conditional","6","High","Soma/dendrites","SP-evoked inward current; resting firing; NALCN perturbation","Add only as part of a validated SP/NK1 model","https://pmc.ncbi.nlm.nih.gov/articles/PMC6095712/"
"GABA_B plus GIRK","Metabotropic receptor/effector","Slow postsynaptic inhibition and presynaptic release suppression","C","Functional signaling in identified adult spinal PNs; injury-dependent plasticity","Later","5","High","Soma/dendrites and presynaptic terminals","Baclofen outward current; suppression of mEPSCs","Add after fast inhibition is validated and if slow modulation is studied","https://pmc.ncbi.nlm.nih.gov/articles/PMC6053268/"
"Kainate receptor","Ligand-gated","Glutamatergic excitation/modulation","B/C","Older PN recordings combine AMPA/kainate; no exact L796-separated current","Do not add now","3","Medium","Dendritic synapses","Pharmacologically isolated kainate current","Add only after AMPA-separated residual current is demonstrated","https://pmc.ncbi.nlm.nih.gov/articles/PMC1464766/"
"P2X/5-HT3/nicotinic","Ligand-gated","Pathway-specific fast modulation","D","No exact L796 requirement established","Do not add now","1","Medium","Only at defined input synapses","Agonist/antagonist-isolated current","Require a specified anatomical input and functional response",""
