name,class,priority,current_status,parameter_used,reason,source
T-type Ca,Voltage-gated Ca,7,DEFERRED,n/a (not implemented),"No rebound burst/low-threshold depolarization above resting baseline was observed (peak-above-baseline during recovery = 0.22 mV, spike=False; the membrane recovers passively and monotonically toward rest -- settled value -72.28 mV vs baseline -72.43 mV -- with no active overshoot at any point) after a hyperpolarizing step, and this is not a stated project target. Per the decision rule ('add only for measured low-threshold burst/rebound/current'), T-type Ca is DEFERRED. Independently, no vetted T-type Ca .mod file is available in external/SDHmodel/mods.",PMC1664848; PMID 33871884
Persistent Na,Voltage-gated Na,4,FLAGGED_OVERINCLUDED,iNaP: soma base 0.0001 S/cm2 x1.0 scale,"FLAG: recommended_status='Later' (priority 4); decision rule says do NOT add for ordinary tonic firing unless a measured persistent inward current (PIC)/ramp-hysteresis target exists -- none does for L796. Present only because it was carried over unchanged from the ModelDB 267056 base model during earlier single-cell tuning, not because the evidence table justifies it. Left in place (removing it would require re-validating the whole single-cell fit) but explicitly flagged as over-inclusion.",No L796-specific PIC evidence in the evidence table
L-type Ca,Voltage-gated Ca,4,FLAGGED_OVERINCLUDED,"iCaL: soma base 0.0001 S/cm2 x1.25, dend base 3e-05 S/cm2 x1.25","FLAG: recommended_status='Conditional-low' (priority 4); decision rule says do not add unless a sustained Ca/plateau target exists -- none does for L796. Present only because it was carried over unchanged from the ModelDB 267056 base model, not because the evidence table justifies it. Left in place for the same reason as persistent Na above.","PMID 2482353 (labelled ascending dorsal-horn cells, not L796-specific)"
SK-type KCa,Calcium-activated K,5,DEFERRED,n/a,DEFER: decision rule 'add only if Ca-coupled medium AHP/adaptation remains missing.' iKCa is already present and functionally covers Ca-activated K/AHP; no apamin-sensitive current evidence specific to L796.,No direct L796 apamin evidence (evidence_level D)
BK-type KCa,Calcium-activated K,4,DEFERRED,n/a,DEFER: decision rule 'add only with fast-AHP/spike-width evidence.' No such evidence for L796; iKCa already functionally covers Ca-K currents.,No direct L796 blocker evidence (evidence_level D)
N-type Ca,Voltage-gated Ca,5,DEFERRED,n/a,DEFER: decision rule 'add when calcium or presynaptic release is explicitly modeled' -- this project does not explicitly model presynaptic Ca-dependent release.,PMID 2482353; PMID 32341097
P/Q/R-type Ca,Voltage-gated Ca,3,DEFERRED,n/a,"DEFER ('Later'): decision rule 'add only with subtype-specific evidence or explicit terminal model' -- not resolved for L796, no terminal model here.",PMID 32341097
HCN/Ih,Voltage-gated (cation),4,DEFERRED,n/a,DEFER ('Later'): decision rule 'add only for measured sag/rebound/resonance' -- no L796-specific sag evidence.,"PMC8208100 (mouse lamina-I spinobulbar subset, not L796)"
M current/KCNQ,Voltage-gated K,3,DEFERRED,n/a,DEFER ('Do not add now'): decision rule 'add only after a discriminating pharmacological feature' -- none identified for L796.,No direct identified-L796 functional evidence
NALCN,Modulator-gated Na leak,6,DEFERRED,n/a,"DEFER: decision rule 'add only as part of a validated SP/NK1 model.' The NK1 addition in this pass uses NK1_DynSyn's own built-in nonspecific cation current directly, not a separate NALCN-mediated pathway, so this dependency is not triggered.",PMC6095712 (neonatal spinal PNs)
GABA_B plus GIRK,Metabotropic/effector,5,DEFERRED,n/a,"DEFER ('Later'): decision rule 'add after fast inhibition is validated and if slow modulation is studied.' Fast inhibition (GABA-A/glycine) is validated, but slow modulation is not a current project target.",PMC6053268
Kainate receptor,Ligand-gated,3,DEFERRED,n/a,DEFER ('Do not add now'): decision rule 'add only after AMPA-separated residual current is demonstrated' -- not demonstrated for L796.,PMC1464766 (AMPA/kainate not pharmacologically separated in older recordings)
P2X/5-HT3/nicotinic,Ligand-gated,1,DEFERRED,n/a,"DEFER ('Do not add now'): decision rule 'require a specified anatomical input and functional response' -- none specified. (An nAChR-like Exp2Syn PROXY already exists from Part 1 for a different, receptor-addition purpose; P2X and 5-HT3 remain fully unimplemented, consistent with that earlier work.)",No exact L796 requirement established (evidence_level D)
